"athlete","gold","silver","bronze","total"
"ANDRIANOV, Nikolay",7,5,3,""
"ASTAKHOVA, Polina",5,2,3,""
"BIONDI, Matthew",8,2,1,""
"CASLAVSKA, Vera",7,4,0,""
"CHUKARIN, Viktor Ivanovich",7,3,1,""
"COMANECI, Nadia",5,3,1,""
"COUGHLIN, Natalie",3,4,4,""
"DITYATIN, Aleksandr",3,6,1,""
"FISCHER, Birgit",8,4,0,""
"GAUDINI, Giulio",3,4,2,""
"GEREVICH, Aladar",7,1,2,""
"HALL, Gary Jr.",5,3,2,""
"KATO, Sawao",8,3,1,""
"KELETI, Agnes",5,3,2,""
"LATYNINA, Larisa",9,5,4,""
"LEWIS, Carl",9,1,0,""
"MANGIAROTTI, Edoardo",6,5,2,""
"NAKAYAMA, Akinori",6,2,2,""
"NEMOV, Alexei",4,2,6,""
"NURMI, Paavo",9,3,0,""
"ONO, Takashi",5,4,4,""
"OSBURN, Carl Townsend",5,4,2,""
"PHELPS, Michael",14,0,2,""
"SCHERBO, Vitaly",6,0,4,""
"SHAKHLIN, Boris",7,4,2,""
"SPITZ, Mark",9,1,1,""
"THOMPSON, Jenny",8,3,1,""
"TORRES, Dara",4,4,4,""
"VAN ALMSICK, Franziska",0,4,6,""
